num_empleado,antiguedad
22722,34
24321,32
26470,28
27139,27
28526,25
29099,23
28491,21
28837,21
29082,21
29276,20
29228,19
30095,18
29759,18
29678,18
30025,17
29969,17
30140,16
29667,16
30318,16
29671,15
30794,14
31038,13
31032,13
97221,12
97090,12
96828,12
97113,12
31173,12
97088,12
31009,12
97092,12
31012,12
31628,11
31778,11
31645,11
97036,10
97199,10
95870,10
31607,10
97140,10
31136,10
97134,10
31902,10
31852,10
97172,10
31609,10
32429,9
31617,9
32372,9
97105,8
32792,8
32627,8
32683,8
32535,8
32375,7
32898,7
32811,7
32801,7
32799,7
32826,7
33154,6
31365,6
33285,6
33310,6
33225,6
33224,6
33223,5
33524,5
32650,5
33502,5
33379,5
33474,5
33312,5
33415,5
33459,5
33699,4
33585,4
33686,4
33579,4
33826,4
33821,4
34223,3
34064,3
32285,3
34203,3
33966,3
34037,3
34065,3
